project_name,display_title,english_title,official_subjects,has_official_zh_cn,recommended_run_url,already_in_system,existing_animation_id,existing_subject_name,existing_title
calculus-grapher,Calculus Grapher,Calculus Grapher,"Math & Statistics,Physics",no,/sims/html/calculus-grapher/latest/calculus-grapher_en.html,yes,104,physics,微积分绘图器
center-and-variability,Center and Variability,Center and Variability,Math & Statistics,no,/sims/html/center-and-variability/latest/center-and-variability_en.html,no,,,
fourier-making-waves,Fourier: Making Waves,Fourier: Making Waves,"Math & Statistics,Chemistry,Physics",no,/sims/html/fourier-making-waves/latest/fourier-making-waves_en.html,yes,123,physics,傅里叶：造波
keplers-laws,Kepler's Laws,Kepler's Laws,"Math & Statistics,Earth & Space,Physics",no,/sims/html/keplers-laws/latest/keplers-laws_en.html,yes,135,physics,开普勒定律
mean-share-and-balance,Mean: Share and Balance,Mean: Share and Balance,Math & Statistics,no,/sims/html/mean-share-and-balance/latest/mean-share-and-balance_en.html,no,,,
number-compare,Number Compare,Number Compare,Math & Statistics,yes,/sims/html/number-compare/latest/number-compare_zh_CN.html,no,,,
number-pairs,Number Pairs,Number Pairs,Math & Statistics,no,/sims/html/number-pairs/latest/number-pairs_en.html,no,,,
projectile-data-lab,Projectile Data Lab,Projectile Data Lab,"Math & Statistics,Physics",no,/sims/html/projectile-data-lab/latest/projectile-data-lab_en.html,yes,146,physics,抛体运动数据实验室
projectile-sampling-distributions,Projectile Sampling Distributions,Projectile Sampling Distributions,Math & Statistics,no,/sims/html/projectile-sampling-distributions/latest/projectile-sampling-distributions_en.html,no,,,
quadrilateral,Quadrilateral,Quadrilateral,Math & Statistics,no,/sims/html/quadrilateral/latest/quadrilateral_en.html,no,,,
least-squares-regression,一次线性函数的拟合,Least-Squares Regression,Math & Statistics,yes,/sims/html/least-squares-regression/latest/least-squares-regression_zh_CN.html,no,,,
trig-tour,三角函数之旅,Trig Tour,Math & Statistics,yes,/sims/html/trig-tour/latest/trig-tour_zh_CN.html,no,,,
graphing-quadratics,二次函数图像,Graphing Quadratics,Math & Statistics,yes,/sims/html/graphing-quadratics/latest/graphing-quadratics_zh_CN.html,no,,,
