project_name,display_title,english_title,official_subjects,has_official_zh_cn,recommended_run_url,already_in_system,existing_animation_id,existing_subject_name,existing_title
center-and-variability,Center and Variability,Center and Variability,Math & Statistics,no,/sims/html/center-and-variability/latest/center-and-variability_en.html,no,,,
greenhouse-effect,Greenhouse Effect,Greenhouse Effect,Earth & Space,no,/sims/html/greenhouse-effect/latest/greenhouse-effect_en.html,no,,,
mean-share-and-balance,Mean: Share and Balance,Mean: Share and Balance,Math & Statistics,no,/sims/html/mean-share-and-balance/latest/mean-share-and-balance_en.html,no,,,
membrane-transport,Membrane Transport,Membrane Transport,"Chemistry,Biology",no,/sims/html/membrane-transport/latest/membrane-transport_en.html,no,,,
number-compare,Number Compare,Number Compare,Math & Statistics,yes,/sims/html/number-compare/latest/number-compare_zh_CN.html,no,,,
number-pairs,Number Pairs,Number Pairs,Math & Statistics,no,/sims/html/number-pairs/latest/number-pairs_en.html,no,,,
ph-scale,PH值 ,pH Scale,"Earth & Space,Chemistry,Biology",yes,/sims/html/ph-scale/latest/ph-scale_zh_CN.html,no,,,
projectile-sampling-distributions,Projectile Sampling Distributions,Projectile Sampling Distributions,Math & Statistics,no,/sims/html/projectile-sampling-distributions/latest/projectile-sampling-distributions_en.html,no,,,
quadrilateral,Quadrilateral,Quadrilateral,Math & Statistics,no,/sims/html/quadrilateral/latest/quadrilateral_en.html,no,,,
ph-scale-basics,pH值:基础,pH Scale: Basics,Chemistry,yes,/sims/html/ph-scale-basics/latest/ph-scale-basics_zh_CN.html,no,,,
least-squares-regression,一次线性函数的拟合,Least-Squares Regression,Math & Statistics,yes,/sims/html/least-squares-regression/latest/least-squares-regression_zh_CN.html,no,,,
trig-tour,三角函数之旅,Trig Tour,Math & Statistics,yes,/sims/html/trig-tour/latest/trig-tour_zh_CN.html,no,,,
graphing-quadratics,二次函数图像,Graphing Quadratics,Math & Statistics,yes,/sims/html/graphing-quadratics/latest/graphing-quadratics_zh_CN.html,no,,,
function-builder-basics,函数构造器:基础,Function Builder: Basics,Math & Statistics,yes,/sims/html/function-builder-basics/latest/function-builder-basics_zh_CN.html,no,,,
molecule-shapes,分子形状,Molecule Shapes,Chemistry,yes,/sims/html/molecule-shapes/latest/molecule-shapes_zh_CN.html,no,,,
molecule-shapes-basics,分子形状:基础,Molecule Shapes: Basics,Chemistry,yes,/sims/html/molecule-shapes-basics/latest/molecule-shapes-basics_zh_CN.html,no,,,
molecule-polarity,分子极性,Molecule Polarity,"Chemistry,Biology",yes,/sims/html/molecule-polarity/latest/molecule-polarity_zh_CN.html,no,,,
fraction-matcher,分数配对,Fraction Matcher,Math & Statistics,yes,/sims/html/fraction-matcher/latest/fraction-matcher_zh_CN.html,no,,,
fractions-intro,分数：入门,Fractions: Intro,Math & Statistics,yes,/sims/html/fractions-intro/latest/fractions-intro_zh_CN.html,no,,,
fractions-mixed-numbers,分数：带分数,Fractions: Mixed Numbers,Math & Statistics,yes,/sims/html/fractions-mixed-numbers/latest/fractions-mixed-numbers_zh_CN.html,no,,,
fractions-equality,分数：等式,Fractions: Equality,Math & Statistics,yes,/sims/html/fractions-equality/latest/fractions-equality_zh_CN.html,no,,,
build-a-molecule,创造一个分子,Build a Molecule,Chemistry,yes,/sims/html/build-a-molecule/latest/build-a-molecule_zh_CN.html,no,,,
area-builder,区域建造者,Area Builder,Math & Statistics,yes,/sims/html/area-builder/latest/area-builder_zh_CN.html,no,,,
unit-rates,单位价格,Unit Rates,Math & Statistics,yes,/sims/html/unit-rates/latest/unit-rates_zh_CN.html,no,,,
reactants-products-and-leftovers,反应物，生成物及未反应物,"Reactants, Products and Leftovers",Chemistry,yes,/sims/html/reactants-products-and-leftovers/latest/reactants-products-and-leftovers_zh_CN.html,no,,,
isotopes-and-atomic-mass,同位素和原子的质量,Isotopes and Atomic Mass,Chemistry,yes,/sims/html/isotopes-and-atomic-mass/latest/isotopes-and-atomic-mass_zh_CN.html,no,,,
vector-addition-equations,向量的和：等式,Vector Addition: Equations,Math & Statistics,yes,/sims/html/vector-addition-equations/latest/vector-addition-equations_zh_CN.html,no,,,
arithmetic,四则运算,Arithmetic,Math & Statistics,yes,/sims/html/arithmetic/latest/arithmetic_zh_CN.html,no,,,
gene-expression-essentials,基因表达基础,Gene Expression Essentials,Biology,yes,/sims/html/gene-expression-essentials/latest/gene-expression-essentials_zh_CN.html,no,,,
function-builder,建立方程,Function Builder,Math & Statistics,yes,/sims/html/function-builder/latest/function-builder_zh_CN.html,no,,,
molarity,摩尔浓度,Molarity,Chemistry,yes,/sims/html/molarity/latest/molarity_zh_CN.html,no,,,
number-play,数字游戏,Number Play,Math & Statistics,yes,/sims/html/number-play/latest/number-play_zh_CN.html,no,,,
number-line-integers,数轴：整数,Number Line: Integers,Math & Statistics,yes,/sims/html/number-line-integers/latest/number-line-integers_zh_CN.html,no,,,
number-line-distance,数轴：距离,Number Line: Distance,Math & Statistics,yes,/sims/html/number-line-distance/latest/number-line-distance_zh_CN.html,no,,,
number-line-operations,数轴：运算,Number Line: Operations,Math & Statistics,yes,/sims/html/number-line-operations/latest/number-line-operations_zh_CN.html,no,,,
build-a-fraction,构建一个分数,Build a Fraction,Math & Statistics,yes,/sims/html/build-a-fraction/latest/build-a-fraction_zh_CN.html,no,,,
proportion-playground,比例游乐场,Proportion Playground,Math & Statistics,yes,/sims/html/proportion-playground/latest/proportion-playground_zh_CN.html,no,,,
beers-law-lab,比尔定律实验,Beer's Law Lab,Chemistry,yes,/sims/html/beers-law-lab/latest/beers-law-lab_zh_CN.html,no,,,
ratio-and-proportion,比率和比例,Ratio and Proportion,Math & Statistics,yes,/sims/html/ratio-and-proportion/latest/ratio-and-proportion_zh_CN.html,no,,,
concentration,浓度,Concentration,Chemistry,yes,/sims/html/concentration/latest/concentration_zh_CN.html,no,,,
graphing-lines,直线图形,Graphing Lines,Math & Statistics,yes,/sims/html/graphing-lines/latest/graphing-lines_zh_CN.html,no,,,
neuron,神经元,Neuron,Biology,yes,/sims/html/neuron/latest/neuron_zh_CN.html,no,,,
equality-explorer,等式探索,Equality Explorer,Math & Statistics,yes,/sims/html/equality-explorer/latest/equality-explorer_zh_CN.html,no,,,
equality-explorer-two-variables,等式探索:两个变量,Equality Explorer: Two Variables,Math & Statistics,yes,/sims/html/equality-explorer-two-variables/latest/equality-explorer-two-variables_zh_CN.html,no,,,
equality-explorer-basics,等式探索:基础,Equality Explorer: Basics,Math & Statistics,yes,/sims/html/equality-explorer-basics/latest/equality-explorer-basics_zh_CN.html,no,,,
graphing-slope-intercept,绘图:斜率与截距,Graphing Slope-Intercept,Math & Statistics,yes,/sims/html/graphing-slope-intercept/latest/graphing-slope-intercept_zh_CN.html,no,,,
natural-selection,自然选择,Natural Selection,Biology,yes,/sims/html/natural-selection/latest/natural-selection_zh_CN.html,no,,,
make-a-ten,获得一个10,Make a Ten,Math & Statistics,yes,/sims/html/make-a-ten/latest/make-a-ten_zh_CN.html,no,,,
expression-exchange,表达式变换,Expression Exchange,Math & Statistics,yes,/sims/html/expression-exchange/latest/expression-exchange_zh_CN.html,no,,,
balancing-chemical-equations,配平化学方程式,Balancing Chemical Equations,Chemistry,yes,/sims/html/balancing-chemical-equations/latest/balancing-chemical-equations_zh_CN.html,no,,,
acid-base-solutions,酸碱溶液,Acid-Base Solutions,Chemistry,yes,/sims/html/acid-base-solutions/latest/acid-base-solutions_zh_CN.html,no,,,
area-model-multiplication,面积模型乘法,Area Model Multiplication,Math & Statistics,yes,/sims/html/area-model-multiplication/latest/area-model-multiplication_zh_CN.html,no,,,
area-model-algebra,面积模型代数,Area Model Algebra,Math & Statistics,yes,/sims/html/area-model-algebra/latest/area-model-algebra_zh_CN.html,no,,,
area-model-introduction,面积模型入门,Area Model Introduction,Math & Statistics,yes,/sims/html/area-model-introduction/latest/area-model-introduction_zh_CN.html,no,,,
area-model-decimals,面积模型：小数,Area Model Decimals,Math & Statistics,yes,/sims/html/area-model-decimals/latest/area-model-decimals_zh_CN.html,no,,,
